section,subsection,name,value,hint,setting
	release	minsizetoformrelease	0	The minimum total size in bytes to make a release. If set to 0, then ignored. Only deletes during release creation.	minsizetoformrelease
APIs		amazonassociatetag	n01369-20	The amazon associate tag. Used for music/book lookups.	amazonassociatetag
APIs		amazonprivkey	B58mVwyj+T/MEucxWugJ3GQ0CcW2kQq16qq/1WpS	The amazon private api key. Used for music/book lookups.	amazonprivkey
APIs		amazonpubkey	AKIAIPDNG5EU7LB4AD3Q	The amazon public api key. Used for music/book lookups.	amazonpubkey
APIs		giantbombkey		The giantbomb api key. Used for game lookups.	giantbombkey
APIs		anidbkey		The Anidb api key. Used for Anime lookups.	anidbkey
APIs		fanarttvkey		The Fanart.tv api key. Used for Fanart.tv lookups. Fanart.tv would appreciate it if you use this service to help them out by adding high quality images not already available on TMDB.	fanarttvkey
APIs		rottentomatokey	qxbxyngtujprvw7jxam2m6na	The api key used for access to rotten tomatoes.	rottentomatokey
APIs		rottentomatoquality	profile	Select the quality of the images to display in Upcoming.	rottentomatoquality
APIs		tmdbkey	9a4e16adddcd1e86da19bcaf5ff3c2a3	The API key used for access to TMDb.	tmdbkey
APIs		trakttvkey		The trakt.tv api key. Used for movie and tv lookups.	trakttvkey
APIs	APIKeys	section-label	3<sup>rd.</sup> Party API Keys		""
apps		7zippath		The path to the 7za (7zip command line in windows) binary, used for grabbing nfos from compressed zip files. Use forward slashes in windows c:/path/to/7z.exe	zippath
apps		ffmpegpath		The path to the ffmpeg or avconv binary. Used for making thumbnails and video/audio previews. Use empty path to disable thumbnailing. Use forward slashes in windows c:/path/to/ffmpeg.exe	ffmpegpath
apps		mediainfopath		The path to the mediainfo binary. Used for deep file media analysis. Use empty path to disable mediainfo checks Use forward slashes in windows c:/path/to/mediainfo.exe	mediainfopath
apps		unrarpath		The path to an unrar binary, used in deep password detection and media info grabbing. Use forward slashes in windows c:/path/to/unrar.exe	unrarpath
apps		timeoutpath		The path to the timeout binary. This is used to limit the amount of time unrar/7zip/mediainfo/ffmpeg/avconv can run. You can the time limit in the process additional section. You can leave this empty to disable this. Use forward slashes in windows c:/path/to/timeout.exe	timeoutpath
apps		yydecoderpath		Path to yydecode, this will decode yEnc articles. On ubuntu/debian you can get yydecode in the getdeb repository. Compiling yydecode from source is easy/fast also. Use forward slashes in windows c:/path/to/yydecode.exe	yydecoderpath
apps	sabnzbplus	apikey		The Api key of the SAB installation. Can be the full api key or the nzb api key (as of SAB 0.6)	sabapikey
apps	sabnzbplus	apikeytype	1	Select the type of api key you entered in the above setting	sabapikeytype
apps	sabnzbplus	integrationtype	2	Whether to allow integration with a SAB install and if so what type of integration. <br/>Setting this to integrated also disables NZBGet from being selectable to the user.	sabintegrationtype
apps	sabnzbplus	priority	0	Set the priority level for NZBs that are added to your queue	sabpriority
apps	sabnzbplus	url		The url of the SAB installation, for example: http://localhost:8080/sabnzbd/	saburl
indexer	categorise	categorizeforeign	1	This only works if the above is set to english. Whether to send foreign movies/tv to foreign sections or not. If set to true they will go in foreign categories.	categorizeforeign
indexer	categorise	catwebdl	0	Whether to send WEB-DL to the WEB-DL section or not. If set to true they will go in WEB-DL category, false will send them in HD TV.<br/>This will also make them inaccessible to Sickbeard and possibly Couchpotato.	catwebdl
indexer	categorise	imdblanguage	en	Which language to lookup when sending requests to IMDB/Tmdb. (If akas.imdb.com is set, imdb still returns the original titles.)	imdblanguage
indexer	categorise	imdburl	0	akas.imdb.com returns titles in their original title, imdb.com returns titles based on your IP address (if you are in france, you will get french titles).	imdburl
site	google	adbrowse		The banner slot in the header.	adbrowse
site	google	addetail		The banner slot in the release details view.	addetail
site	google	adheader		The banner slot in the header.	adheader
site	google	google_adsense_acc		AdSense account: e.g. pub-123123123123123	google_adsense_acc
site	google	google_adsense_search		The ID of the google search ad panel displayed at the bottom of the left menu.	google_adsense_search
site	google	google_analytics_acc		Analytic's account: e.g. UA-xxxxxx-x	google_analytics_acc
site	main	code	nZEDb	A just for fun value, shown in debug and not on public pages.	code
site	main	coverspath	/your/path/to/covers/	The absolute path to the place covers will be stored.	coverspath
site	main	dereferrer_link		Optional URL to prepend to external links	dereferrer_link
site	main	email		Shown in the contact us page, and where the contact html form is sent to.	email
site	main	footer	Usenet binary indexer.	Displayed in the footer section of every public page.	footer
site	main	home_link	/	The relative path to a the landing page shown when a user logs in, or clicks the home link.	home_link
site	main	logfile	/var/www/nZEDb/resources/logs/failed-login.log	Location of log file (MUST be set if logging to file is set).	logfile
site	main	loggingopt	0	Where you would like to log failed logins to the site.	loggingopt
site	main	menuposition	2	Where the menu should appear. Moving the menu to the top will require using a theme which widens the content panel. (not currently functional)	menuposition
site	main	metadescription	A usenet indexing website	Stem meta-description appended to all page meta description tags.	metadescription
site	main	metakeywords	usenet,nzbs,cms,community	Stem meta-keywords appended to all page meta keyword tags	metakeywords
site	main	metatitle	An indexer	Stem meta-tag appended to all page title tags.	metatitle
site	main	strapline	A great usenet indexer	Displayed in the header on every public page.	strapline
site	main	style	alpha	The theme folder which will be loaded for css and images. (Use / for default)	style
site	main	tandc	<p>All information within this database is indexed by an automated process, without any human intervention. It is obtained from global Usenet newsgroups over which this site has no control. We cannot prevent that you might find obscene or objectionable material by using this service. If you do come across obscene, incorrect or objectionable results, let us know by using the contact form.</p>	Text displayed in the terms and conditions page.	tandc
site	main	title	nZEDb	Displayed around the site and contact form as the name for the site.	title
shell	date	format	%Y-%m-%d %T	Format string to use in shell's date command output. See `man date` for acceptable format.\nDefault: %Y-%m-%d %T	shell.date.format
